cidade,estado,bairro,tipo,m2,quartos,banheiros,garagem,valor,endereco,link
Goiania,GO,Vila Jaraguá,CASA,400²,3,1,, 650000Iptu: 2000,Rua 230,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-go-goiania-vila-jaragua-498m2-RS650000/id-29018220/
Goiania,GO,Setor Oeste,FLAT,55²,1,,, 2600Cond: 392,"Rua Ruy Brasil Cavalcante, 86",https://www.chavesnamao.com.br/imovel/flat-para-alugar-1-quarto-com-garagem-go-goiania-setor-oeste-55m2-RS2600/id-32028413/
Goiania,GO,Residencial Orlando Morais,CASA,78²,3,2,, 268000Iptu: 33,Rua Om 41,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-residencial-orlando-morais-125m2-RS268000/id-17234945/
Goiania,GO,Setor Bueno,KITNET,44²,1,1,, 4500Cond: 490,Rua T 35,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-go-goiania-setor-bueno-44m2-RS4500/id-31978676/
Goiania,GO,Setor Negrão de Lima,RUA,60²,2,1,, 1600Cond: 350,"Rua Dona Estela, 269",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-negrao-de-lima-60m2-RS1600/id-31759386/
Goiania,GO,Setor Marista,APARTAMENTO,99²,2,1,,988634.0,"Avenida Mutirão, 299",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-setor-marista-RS988634/id-8945133/
Goiania,GO,Setor Sul,CASA,150²,3,3,, 2856Iptu: 188,Rua 83-e,https://www.chavesnamao.com.br/imovel/casa-para-alugar-3-quartos-com-garagem-go-goiania-setor-sul-150m2-RS2856/id-31923582/
Goiania,GO,Setor Três Marias,CASA,177²,3,4,4,950000.0,"Rua Gibraltar, 1",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-setor-tres-marias-360m2-RS950000/id-26472670/
Goiania,GO,Setor Marista,APARTAMENTO,72²,2,2,2, 3200Cond: 520,Rua 1121,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-marista-72m2-RS3200/id-31902055/
Goiania,GO,Jardim América,APARTAMENTO,80²,3,2,2,626000.0,Rua C211,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-jardim-america-RS626000/id-26062584/
Goiania,GO,Parque Anhangüera II,ALUGUEL,251²,4,3,2, 2200Iptu: 497,Rua Sol Nascente,https://www.chavesnamao.com.br/imovel/casa-para-alugar-4-quartos-com-garagem-go-goiania-parque-anhanguera-ii-251m2-RS2200/id-25426341/
Goiania,GO,Setor São José,SOBRADO,228²,3,4,5,1180000.0,"Rua 613, S/N",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-setor-sao-jose-292m2-RS1180000/id-32032946/
Goiania,GO,Jardim Goiás,APARTAMENTO,70²,3,2,, 2550Cond: 525,Rua 54,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-jardim-goias-70m2-RS2550/id-31923887/
Goiania,GO,Setor Oeste,APARTAMENTO,445²,5,6,4, 5100000Cond: 1600,"13 Esquina C Rua João De Abreu, 1",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-5-quartos-com-garagem-go-goiania-setor-oeste-445m2-RS5100000/id-13016602/
Goiania,GO,Jardim Goiás,APARTAMENTO,60²,2,1,, 2550Cond: 600,Rua 14,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-jardim-goias-60m2-RS2550/id-32038943/
Goiania,GO,Setor Estrela Dalva,VENDO,75²,2,2,2, 284000Iptu: 30,"Rua Xviii De Outubro, 57",https://www.chavesnamao.com.br/imovel/casa-a-venda-2-quartos-com-garagem-go-goiania-setor-estrela-dalva-110m2-RS284000/id-26116752/
Goiania,GO,Setor Aeroporto,COBERTURA,58²,2,2,, 2300Cond: 400,Rua 25-a,https://www.chavesnamao.com.br/imovel/cobertura-para-alugar-2-quartos-com-garagem-go-goiania-setor-aeroporto-58m2-RS2300/id-31923754/
Goiania,GO,Residencial Beatriz Nascimento,CASA,62²,2,1,,239000.0,"Rua Rbn 1, 01",https://www.chavesnamao.com.br/imovel/casa-a-venda-2-quartos-go-goiania-residencial-beatriz-nascimento-100m2-RS239000/id-30736654/
Goiania,GO,Setor Bueno,APARTAMENTO,86²,3,2,, 3200Cond: 530,Avenida T 4,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-bueno-86m2-RS3200/id-31895467/
Goiania,GO,Parque Amazônia,APARTAMENTO,75²,3,2,2, 2900Cond: 487,"Rua Marajó, 14",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-parque-amazonia-RS2900/id-29830516/
Goiania,GO,Residencial Aquários II,CASA,300²,3,1,6,529900.0,"Rua Matrinchã, sn",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-residencial-aquarios-ii-300m2-RS529900/id-28229170/
Goiania,GO,Setor Bueno,APARTAMENTO,72²,2,2,, 3480Cond: 650,"Rua T 36, 3857",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-bueno-RS3480/id-31661934/
Goiania,GO,Setor Bueno,COBERTURA,590²,5,7,5,7000000.0,"Avenida T-5, 399",https://www.chavesnamao.com.br/imovel/cobertura-a-venda-5-quartos-com-garagem-go-goiania-setor-bueno-590m2-RS7000000/id-29912254/
Goiania,GO,Vila Rosa,APARTAMENTO,50²,2,2,2, 3250Cond: 285,Avenida Francisco De Melo Qd 63 Lt 1618-2327 - Residencial Ilha Das Flores,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-vila-rosa-50m2-RS3250/id-31902597/
Goiania,GO,Jardim Goiás,APARTAMENTO,108²,3,4,2, 750000Cond: 730,"Rua 56, 79",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-jardim-goias-108m2-RS750000/id-27760839/
