estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,144,1291891
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,137,1400000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,155,1300000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,116,1110037
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,117,1090000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,160,1482507
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,140,1255232
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,130,1105000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,178,1450000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,129,1287817
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,137,1020414
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,2,104,1085847
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,115,1350000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,146,1368060
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,140,1500000
GO,GOIANIA,PARK LOZANDES,APARTAMENTO,3,121,1269000
GO,GOIANIA,PARK LOZANDES,APARTAMENTO,3,105,1061348
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,115,1180000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,112,1347703
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,125,1150000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,148,1368060
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,107,1085847
GO,GOIANIA,SETOR PEDRO LUDOVICO,APARTAMENTO,3,126,1035134
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,114,1050000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,128,1125000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,3,121,1290000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,128,1420000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,108,1240000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,2,79,1200
GO,SENADOR CANEDO,CONDOMÍNIO VINHAS,TERRENO,0,250,320000
GO,SENADOR CANEDO,CONDOMÍNIO VINHAS,TERRENO,0,270,345000
GO,GOIANIA,PORTAL DO SOL GREEN,TERRENO,0,459,750000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,157,1962257
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,149,1820000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,153,1580000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,175,1850000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,179,1890000
GO,GOIANIA,PARK LOZANDES,APARTAMENTO,3,158,1563000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,202,1700000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,169,1850000
GO,GOIANIA,ALTO DA GLÓRIA,APARTAMENTO,3,153,1546905
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,122,1580000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,162,1814844
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,166,1678280
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,187,1900000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,185,1990000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,5,178,1673659
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,174,1730000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,160,1790000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,177,1777230
GO,SENADOR CANEDO,RESIDENCIAL VILLA VERDE,CASA,4,256,1250000
GO,SENADOR CANEDO,JARDINS PORTO,CASA,3,257,1500000
GO,SENADOR CANEDO,JARDINS BOLONHA,CASA,3,158,1190000
GO,SENADOR CANEDO,JARDINS BOLONHA,CASA,3,164,1350000
GO,SENADOR CANEDO,RESIDENCIAL CONDOMÍNIO JARDIM VENEZA,CASA,3,195,1350000
GO,SENADOR CANEDO,JARDINS BOLONHA,CASA,3,158,1250000
GO,SENADOR CANEDO,JARDINS BOLONHA,CASA,3,160,1150000
GO,SENADOR CANEDO,JARDINS,CASA,3,219,1500000
GO,SENADOR CANEDO,CONDOMÍNIO TERRAS ALPHA 2,CASA,3,156,1119000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,140,2268040
GO,GOIANIA,SETOR OESTE,APARTAMENTO,4,184,2184210
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,4,255,2932500
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,260,2620000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,263,2650000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,4,228,2700000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,207,2500000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,185,2200000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,4,221,2628000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,256,2419055
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,332,3000000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,262,2837306
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,256,2419055
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,204,2646729
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,255,2969586
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,217,2170523
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,260,2450000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,164,2008640
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,185,2290000
GO,GOIANIA,PARK LOZANDES,APARTAMENTO,4,243,2700000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,4,298,2689086
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,208,2687904
GO,GOIANIA,PARK LOZANDES,APARTAMENTO,5,291,2263306
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,227,2197701
GO,GOIANIA,CONDOMÍNIO PORTAL DO SOL 2,CASA,3,252,1800000
GO,GOIANIA,JARDIM CRISTAL,CASA,4,253,1850000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,266,3290000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,244,3080000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,245,3279214
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,223,3203399
GOIÁS,GOIANIA,SETOR BUENO,APARTAMENTO,4,260,3190000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,390,3800000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,270,3363215
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,287,3690000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,299,3036523
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,320,4200000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,4,449,4801332
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,244,4037546
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,264,4300000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,403,5848329
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,411,7173389
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,4,530,8500000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,411,5041049
GO,GOIANIA,NOVA SUIÇA,APARTAMENTO,5,482,7315275
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,399,8500000
GO,GOIANIA,JARDINS VERONA,CASA,3,264,2900000
GO,GOIANIA,VILA ROSA,CASA,4,257,2400000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,5,299,2900000
GO,GOIANIA,CONDOMÍNIO DO LAGO,CASA,5,284,2999999
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,218,2100000
GO,SENADOR CANEDO,JARDINS,CASA,4,268,2100000
GO,SENADOR CANEDO,ESTÂNCIA VARGEM BONITA,CASA,4,306,2300000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,337,2864500
GO,GOIANIA,JARDINS VERONA,CASA,4,220,2500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,320,2800000
GO,GOIANIA,JARDINS VERONA,CASA,4,250,2900000
GO,GOIANIA,CONDOMÍNIO PORTAL DO SOL 2,CASA,3,256,2900000
GO,GOIANIA,CONDOMÍNIO DO LAGO,CASA,3,207,3000000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,270,2590000
GO,GOIANIA,JARDINS VALÊNCIA,CASA,5,344,3690000
GO,GOIANIA,FAZENDA GAMELEIRA,CASA,4,308,3800000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,360,3600000
GO,GOIANIA,RESIDENCIAL ALDEIA DO VALE,CASA,4,371,3800000
GO,GOIANIA,JARDINS VERONA,CASA,3,370,3999000
GO,GOIANIA,ALPHAVILLE,CASA,4,406,3850000
GO,GOIANIA,JARDINS VALÊNCIA,CASA,4,300,3100000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,347,3500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,278,3500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,335,4000000
GO,GOIANIA,JARDINS FRANÇA,CASA,4,378,3500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,346,3990000
GO,GOIANIA,JARDINS FRANÇA,CASA,4,288,3500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,290,3300000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,365,3500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,410,3999000
GO,GOIANIA,JARDINS VERONA,CASA,3,244,3890000
GO,GOIANIA,JARDINS MILÃO,CASA,4,420,4500000
GO,GOIANIA,JARDINS FRANÇA,CASA,4,356,4300000
GO,GOIANIA,JARDINS FRANÇA,CASA,5,351,4100000
GO,GOIANIA,JARDINS FRANÇA,CASA,4,368,4380000
GO,GOIANIA,JARDINS VERONA,CASA,5,385,4300000
GO,GOIANIA,JARDINS FRANÇA,CASA,4,369,4500000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,1,38,440000
GO,GOIANIA,RUA C 238,APARTAMENTO,3,130,987000
GO,GOIANIA,SETOR GARAVELO,CASA,3,165,820000
GO,GOIANIA,JARDIM ATLANTICO,APARTAMENTO,3,106,830000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,1,41,375000
GO,GOIANIA,SETOR SUDOESTE,APARTAMENTO,3,98,410000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,125,860000
GO,GOIANIA,PARQUE AMAZONIA,APARTAMENTO,2,67,429000
GO,GOIANIA,RESIDENCIAL ELDORADO EXPANSAO,APARTAMENTO,3,109,890000
GO,GOIANIA,VILA ROSA,APARTAMENTO,2,55,325000
GO,GOIANIA,VILA JARAGUA,APARTAMENTO,2,56,395000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,221,2200000
GO,GOIANIA,JARDIM DIAMANTINA,APARTAMENTO,3,61,140000
GO,GOIANIA,PARQUE AMAZONIA,APARTAMENTO,3,103,1021000
GO,GOIANIA,PARQUE AMAZONIA,APARTAMENTO,3,82,757000
GO,GOIANIA,SETOR PONTAL SUL,CASA,3,133,650000
GO,SENADOR CANEDO,JARDINS CAPRI,CASA,3,177,1590000
