titulo,bairro,descricao,m2,quartos,banheiros,garagem,valor,link
"AVENIDA PERIMETRAL OESTE, RESIDENCIAL NUNES DE MORAIS 1 ETAPA, GOIANIA",,Venda Apartamento 56 m²,56.0,2.0,,,220000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-residencial-nunes-de-morais-1-etapa-goiania-go-avenida-perimetral-oeste-1178168
"Rua 31, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 94 m²,94.0,3.0,,,495000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-31-1097569
"Rua SR 45, RESIDENCIAL PAULO ESTRELA, GOIANIA",,Venda Casa 102 m²,102.0,3.0,,,398000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-paulo-estrela-goiania-go-rua-sr-45-1178732
"AVENIDA IPANEMA, JARDIM ATLANTICO, GOIANIA",JARDIM ATLANTICO,Venda Casa 248 m²,248.0,4.0,,,1790000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-jardim-atlantico-goiania-go-avenida-ipanema-1178013
"Rua do Parque, JARDIM ATLANTICO, GOIANIA",JARDIM ATLANTICO,Venda Apartamento 106 m²,106.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-atlantico-goiania-go-rua-do-parque-1178565
"Rua 402, SETOR NEGRAO DE LIMA, GOIANIA",SETOR NEGRAO DE LIMA,Venda Apartamento 64 m²,64.0,2.0,,,320000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-negrao-de-lima-goiania-go-rua-402-1177742
"Alameda Palmeiral, CONDOMINIO ALTO DA BOA VISTA, SENADOR CANEDO",CONDOMINIO ALTO DA BOA VISTA,Venda Lote/Terreno/Área 470 m²,470.0,,,,450000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-condominio-alto-da-boa-vista-senador-canedo-go-alameda-palmeiral-1083486
"Rua T 53, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 77 m²,77.0,3.0,,,645000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-53-1136995
"Rua NITEROI, PARQUE AMAZONIA, GOIANIA",PARQUE AMAZONIA,Venda Apartamento 65 m²,65.0,3.0,,,420000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-parque-amazonia-goiania-go-rua-niteroi-1178219
"AVENIDA DEPUTADO JAMEL CECILIO, JARDIM GOIAS, GOIANIA",JARDIM GOIAS,Venda Apartamento 106 m²,106.0,3.0,,,989000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-avenida-deputado-jamel-cecilio-1118156
"AVENIDA FLORESTA, RESIDENCIAL ALDEIA DO VALE, GOIANIA",RESIDENCIAL ALDEIA DO VALE,Venda Lote/Terreno/Área 14317 m²,14317.0,,,,4477244.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-residencial-aldeia-do-vale-goiania-go-avenida-floresta-1007455
"AVENIDA JOAQUIM PEDRO DIAS, GOIA 2, GOIANIA",,Venda Casa 120 m²,120.0,3.0,,,495000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-goia-2-goiania-go-avenida-joaquim-pedro-dias-1085423
"AVENIDA C 05, JARDIM AMERICA, GOIANIA",JARDIM AMERICA,Venda Apartamento 110 m²,110.0,2.0,,,790000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-jardim-america-goiania-go-avenida-c-05-1116208
"Rua 09, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 129 m²,129.0,3.0,,,1299000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-09-1005920
"Rua X 09, CARDOSO, APARECIDA DE GOIANIA",,Venda Casa 120 m²,120.0,3.0,,,470000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cardoso-aparecida-de-goiania-go-rua-x-09-1061207
"AVENIDA BENEDITO GONCALVES DE ARAUJO, RESIDENCIAL FLAMINGO, GOIANIA",,Venda Casa 115 m²,115.0,3.0,,,505000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-flamingo-goiania-go-avenida-benedito-goncalves-de-araujo-1109042
"Rua AQUIDAUANA, ALPHAVILLE FLAMBOYANT RESIDENCIAL ARAGUAIA, GOIANIA", ALPHAVILLE ARAGUAIA,Venda Casa Condominio 564 m²,564.0,5.0,,,4990000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-alphaville-flamboyant-residencial-araguaia-goiania-go-rua-aquidauana-1096459
"Rua ALAOR MENDONCA, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 57 m²,57.0,2.0,,,329900.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-vila-rosa-goiania-go-rua-alaor-mendonca-1180290
"Rua R 12, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Casa 240 m²,240.0,4.0,,,1500000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-setor-oeste-goiania-go-rua-r-12-1097053
"Rua NORUEGA, JARDIM EUROPA, GOIANIA",JARDIM EUROPA,Venda Casa 223 m²,223.0,4.0,,,1650000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-jardim-europa-goiania-go-rua-noruega-1125796
"AVENIDA ARAGUAIA, SETOR CENTRAL, GOIANIA",SETOR CENTRAL,Venda Prédio 510 m²,510.0,,,,4000000.0,https://www.62imoveis.com.br/imovel/prdio-0-quartos-venda-setor-central-goiania-go-avenida-araguaia-958172
"AVENIDA PRIMEIRA AVENIDA, SETOR LESTE UNIVERSITARIO, GOIANIA",SETOR LESTE UNIVERSITARIO,Venda Apartamento 176 m²,176.0,3.0,,,1584990.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-leste-universitario-goiania-go-avenida-primeira-avenida-1094077
"Rua C 238, JARDIM AMERICA, GOIANIA",JARDIM AMERICA,Venda Apartamento 253 m²,253.0,4.0,,,2650000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-america-goiania-go-rua-c-238-1147396
"Rua T 71, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 206 m²,206.0,3.0,,,2740000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-71-1155078
"Rua 42, CARDOSO CONTINUACAO, APARECIDA DE GOIANIA",,Venda Casa 125 m²,125.0,3.0,,,450000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cardoso-continuacao-aparecida-de-goiania-go-rua-42-817977
"AVENIDA DESEMBARGADOR ELADIO DE AMORIM, PARQUE VEIGA JARDIM, APARECIDA DE GOIANIA",,Venda Casa 117 m²,117.0,3.0,,,490000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-parque-veiga-jardim-aparecida-de-goiania-go-avenida-desembargador-eladio-de-amorim-984173
"Rua DESEMBARGADOR ELADIO AMORIM, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 75 m²,75.0,3.0,,,389900.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-rosa-goiania-go-rua-desembargador-eladio-amorim-1179802
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",,Venda Apartamento 86 m²,86.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-santa-isabel-anapolis-go-avenida-universitaria-1135822
"Rua DESEMBARGADOR ELADIO AMORIM, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 75 m²,75.0,3.0,,,389900.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-rosa-goiania-go-rua-desembargador-eladio-amorim-1179790
"Rua 242, SETOR LESTE UNIVERSITARIO, GOIANIA",SETOR LESTE UNIVERSITARIO,Venda Apartamento 100 m²,100.0,3.0,,,1100000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-leste-universitario-goiania-go-rua-242-1180194
"Rua  Verona, JARDIM ITALIA, ANAPOLIS",,Venda Casa 140 m²,140.0,3.0,,,580000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-italia-anapolis-go-rua--verona-1137100
"AVENIDA AMAZONAS, JARDIM RIO GRANDE, APARECIDA DE GOIANIA",,Venda Lote/Terreno/Área 720 m²,720.0,,,,300000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-jardim-rio-grande-aparecida-de-goiania-go-avenida-amazonas-1077529
