titulo,bairro,descricao,m2,quartos,banheiros,garagem,valor,link
"Rua 12, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 110 m²,110.0,3.0,,,463000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-12-1178229
"Avenida T 3, VILA AMERICANO DO BRASIL, GOIANIA",,Venda Apartamento 78 m²,78.0,3.0,,,618000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-americano-do-brasil-goiania-go-avenida-t-3-851077
"Residencial Damha I Quadra A1, RESIDENCIAL E COMERCIAL DAMHA, CIDADE OCIDENTAL",,Venda Casa Condominio 139 m²,139.0,3.0,,,740000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-residencial-e-comercial-damha-cidade-ocidental-go-residencial-damha-i-quadra-a1-1042261
"Rua T 66, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 247 m²,247.0,3.0,,,3470000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-66-1054724
"Rua Hortencia, JARDINS NAPOLES, SENADOR CANEDO",,Venda Lote/Terreno/Área 391 m²,391.0,,,,360000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-jardins-napoles-senador-canedo-go-rua-hortencia-1110219
"Rua JOAO GAIA, SAO CARLOS, ANAPOLIS",,Venda Apartamento 60 m²,60.0,2.0,,,360000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-sao-carlos-anapolis-go-rua-joao-gaia-1116428
"Rua 54, JARDIM GOIAS, GOIANIA",,Venda Apartamento 74 m²,74.0,3.0,,,640000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-rua-54-989257
"AVENIDA W 005, SITIOS SANTA LUZIA, APARECIDA DE GOIANIA",,Venda Apartamento 50 m²,50.0,2.0,,,200000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-sitios-santa-luzia-aparecida-de-goiania-go-avenida-w-005-1131585
"Rua 1141, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 111 m²,111.0,3.0,,,1000000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1141-1137025
"Rua 07, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 66 m²,66.0,2.0,,,690000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-oeste-goiania-go-rua-07-1166560
"AVENIDA ENGENHEIRO EURICO VIANA, VILA MARIA JOSE, GOIANIA",,Venda Apartamento 52 m²,52.0,2.0,,,410000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-vila-maria-jose-goiania-go-avenida-engenheiro-eurico-viana-1172300
"AVENIDA INGLATERRA, JARDIM EUROPA, GOIANIA",,Venda Casa 326 m²,326.0,3.0,,,1390000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-europa-goiania-go-avenida-inglaterra-1053090
"Rua GILBERTO FREIRE, CIDADE SATELITE SAO LUIZ, APARECIDA DE GOIANIA",,Venda Casa 208 m²,208.0,3.0,,,1200000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cidade-satelite-sao-luiz-aparecida-de-goiania-go-rua-gilberto-freire-1097585
"Rua 145, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Prédio 365 m²,365.0,,,,2990000.0,https://www.62imoveis.com.br/imovel/prdio-0-quartos-venda-setor-marista-goiania-go-rua-145-999289
"Rua ACRE, CHACARAS ANHANGUERA, VALPARAISO DE GOIAS",,Venda Casa Condominio 100 m²,100.0,2.0,,,230000.0,https://www.62imoveis.com.br/imovel/casa-condominio-2-quartos-venda-chacaras-anhanguera-valparaiso-de-goias-go-rua-acre-1014882
"Rua LAGO 1, CONDOMINIO DO LAGO, GOIANIA",,Venda Casa 319 m²,319.0,4.0,,,2990000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-condominio-do-lago-goiania-go-rua-lago-1-1056621
"Rua 138, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 76 m²,76.0,2.0,,,800000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-marista-goiania-go-rua-138-1140327
"Rua DOS BALSAMOS, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Lote/Terreno/Área 2257 m²,2257.0,,,,2891345.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-residencial-aldeia-do-vale-goiania-go-rua-dos-balsamos-995569
"Rua MDV 7, MOINHO DOS VENTOS, GOIANIA",,Venda Casa 166 m²,166.0,3.0,,,990000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-moinho-dos-ventos-goiania-go-rua-mdv-7-1029692
"Rua PRESIDENTE AFONSO PENA, JARDIM PRESIDENTE, GOIANIA",,Venda Casa 151 m²,151.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-presidente-goiania-go-rua-presidente-afonso-pena-1142242
"AVENIDA BELO HORIZONTE, SETOR JAO, GOIANIA",SETOR JAO,Venda Casa 179 m²,179.0,3.0,,,1300000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-jao-goiania-go-avenida-belo-horizonte-1147339
"GUAPO, GUAPO, GUAPO",,"Venda Rural 9,14 ha",,,,,1095000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-guapo-guapo-go-guapo-990437
"Rua 1128, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 149 m²,149.0,3.0,,,2115990.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1128-1178056
"Rua 56, JARDIM GOIAS, GOIANIA",,Venda Apartamento 118 m²,118.0,3.0,,,920000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-rua-56-1138519
"AVENIDA C 04, JARDIM AMERICA, GOIANIA",,Venda Apartamento 88 m²,88.0,3.0,,,678000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-america-goiania-go-avenida-c-04-1181697
"Rua 36, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 326 m²,326.0,4.0,,,4170000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-marista-goiania-go-rua-36-1169836
"Rua 1124, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 125 m²,125.0,3.0,,,1500000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1124-1037946
"AVENIDA B, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 405 m²,405.0,4.0,,,1950000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-oeste-goiania-go-avenida-b-1054541
"PIRENOPOLIS, PIRENOPOLIS, PIRENOPOLIS",,Venda Casa 596 m²,596.0,5.0,,,980000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-pirenopolis-pirenopolis-go-pirenopolis-1034672
"AVENIDA GOIAS, SETOR CENTRAL, GOIANIA",SETOR CENTRAL,Venda Prédio 5375 m²,5375.0,,,,18900000.0,https://www.62imoveis.com.br/imovel/prdio-0-quartos-venda-setor-central-goiania-go-avenida-goias-999423
"Rua 512, JARDIM MONT SERRAT, APARECIDA DE GOIANIA",,Venda Casa 112 m²,112.0,3.0,,,565000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-mont-serrat-aparecida-de-goiania-go-rua-512-1029664
"Rua PRESIDENTE LINCOLN, JARDIM PRESIDENTE, GOIANIA",,Venda Casa 185 m²,185.0,3.0,,,1300000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-presidente-goiania-go-rua-presidente-lincoln-1166021
"Rua HUMAITA, SAO FRANCISCO, GOIANIA",,Venda Apartamento 83 m²,83.0,3.0,,,590000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-sao-francisco-goiania-go-rua-humaita-1136438
"Rua T 44, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 157 m²,157.0,3.0,,,990000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-44-1139005
"Rua T 54, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 172 m²,172.0,3.0,,,1780000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-54-1156236
"Rua MDV 18, MOINHO DOS VENTOS, GOIANIA",,Venda Casa 103 m²,103.0,3.0,,,390000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-moinho-dos-ventos-goiania-go-rua-mdv-18-1140021
"Rua C 155, JARDIM AMERICA, GOIANIA",,Venda Apartamento 76 m²,76.0,3.0,,,693000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-america-goiania-go-rua-c-155-1130145
"Rua 1141, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 38 m²,38.0,1.0,,,395000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-setor-marista-goiania-go-rua-1141-1058355
"Rua EDUARDO CARLOS PEREIRA MAGALHAES, CIDADE UNIVERSITARIA, ANAPOLIS",,Venda Kitnet 30 m²,30.0,1.0,,,250000.0,https://www.62imoveis.com.br/imovel/kitnet-1-quarto-venda-cidade-universitaria-anapolis-go-rua-eduardo-carlos-pereira-magalhaes-1082122
"Rua TEIXEIRA DE FREITAS, SERRINHA, GOIANIA",,Venda Apartamento 132 m²,132.0,3.0,,,1390086.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-serrinha-goiania-go-rua-teixeira-de-freitas-1041849
"Rua 36, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 225 m²,225.0,3.0,,,2300000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-36-1037615
"AVENIDA IPE AMARELO, RESIDENCIAL ALDEIA DOS SONHOS, ANAPOLIS",,Venda Casa 140 m²,140.0,3.0,,,400000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-aldeia-dos-sonhos-anapolis-go-avenida-ipe-amarelo-1005213
"Rua C 229, JARDIM AMERICA, GOIANIA",,Venda Apartamento 121 m²,121.0,3.0,,,1200000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-america-goiania-go-rua-c-229-708226
"AVENIDA PALMEIRAS DE GOIAS, VILA ALZIRA, APARECIDA DE GOIANIA",,Venda Casa 117 m²,117.0,3.0,,,550000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-vila-alzira-aparecida-de-goiania-go-avenida-palmeiras-de-goias-887471
"Rua 146, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 76 m²,76.0,2.0,,,792000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-marista-goiania-go-rua-146-1121887
"Avenida Presidente Kennedy, JUNDIAI, ANAPOLIS",,Venda Apartamento 164 m²,164.0,3.0,,,1550000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jundiai-anapolis-go-avenida-presidente-kennedy-694197
"Rua SB 42, LOTEAMENTO PORTAL DO SOL II, GOIANIA",,Venda Casa 238 m²,238.0,3.0,,,1850000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-loteamento-portal-do-sol-ii-goiania-go-rua-sb-42-520372
"Rua 1031, SETOR PEDRO LUDOVICO, GOIANIA",SETOR PEDRO LUDOVICO,Venda Apartamento 80 m²,80.0,3.0,,,354000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-pedro-ludovico-goiania-go-rua-1031-1177940
"Rua T 71, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 206 m²,206.0,3.0,,,2740000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-71-1054807
"Rua T 36 ATE 3764 LADO PAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 65 m²,65.0,2.0,,,650000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-36-ate-3764-lado-par-1082767
"Rua 72, JARDIM GOIAS, GOIANIA",,Venda Apartamento 235 m²,235.0,4.0,,,2300000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-goias-goiania-go-rua-72-1037399
"Rua  2, CONDOMINIO RESIDENCIAL BELAS ARTES, ANAPOLIS",,Venda Lote/Terreno/Área 424 m²,424.0,,,,650000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-condominio-residencial-belas-artes-anapolis-go-rua--2-1065267
"Quadra 103B, CENTRO, SANTO ANTONIO DO DESCOBERTO",,"Venda Rural 2,10 ha",,,,,139000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-centro-santo-antonio-do-descoberto-go-quadra-103b-797609
"Rua 401, SETOR NEGRAO DE LIMA, GOIANIA",SETOR NEGRAO DE LIMA,Venda Apartamento 62 m²,62.0,2.0,,,365000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-negrao-de-lima-goiania-go-rua-401-1077534
"Rua TENERIFE, SETOR TRES MARIAS, GOIANIA",SETOR TRES MARIAS,Venda Casa 194 m²,194.0,3.0,,,1350000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-tres-marias-goiania-go-rua-tenerife-1116289
"Rua DA CONCORDIA, SANTA GENOVEVA, GOIANIA",,Venda Casa Condominio 177 m²,177.0,4.0,,,1080000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-santa-genoveva-goiania-go-rua-da-concordia-1040551
"Rua 55, JARDIM GOIAS, GOIANIA",,Venda Apartamento 200 m²,200.0,3.0,,,2385000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-rua-55-1133340
"AVENIDA PL 03, PARK LOZANDES, GOIANIA",,Venda Apartamento 243 m²,243.0,4.0,,,2400000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-park-lozandes-goiania-go-avenida-pl-03-1007267
"AVENIDA EUCLIDES DA CUNHA, CONJUNTO CRUZEIRO DO SUL, APARECIDA DE GOIANIA",,Venda Apartamento 65 m²,65.0,3.0,,,330000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-conjunto-cruzeiro-do-sul-aparecida-de-goiania-go-avenida-euclides-da-cunha-1091434
"AVENIDA MARECHAL RONDON, RESIDENCIAL MORUMBI, GOIANIA",,Venda Casa 120 m²,120.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-morumbi-goiania-go-avenida-marechal-rondon-1149371
"Rua 50, CARDOSO CONTINUACAO, APARECIDA DE GOIANIA",,Venda Casa 125 m²,125.0,3.0,,,630000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cardoso-continuacao-aparecida-de-goiania-go-rua-50-1029753
"AVENIDA SAO CARLOS, JARDIM PLANALTO, GOIANIA",,Venda Casa 400 m²,400.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-planalto-goiania-go-avenida-sao-carlos-1000918
"Senador Canedo, SENADOR CANEDO, SENADOR CANEDO",,Venda Lote/Terreno/Área 312 m²,312.0,,,,423525.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-senador-canedo-senador-canedo-go-senador-canedo-1118565
"Rua ITAPECURI, SETOR GOIANIA 2, GOIANIA",SETOR GOIANIA 2,Venda Casa 270 m²,270.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-goiania-2-goiania-go-rua-itapecuri-1052508
"Rua CLORITA, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 140 m²,140.0,3.0,,,580000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pontal-sul-aparecida-de-goiania-go-rua-clorita-1163046
"Rua SB 52, LOTEAMENTO PORTAL DO SOL II, GOIANIA",,Venda Casa Condominio 240 m²,240.0,4.0,,,2100000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-loteamento-portal-do-sol-ii-goiania-go-rua-sb-52-1102627
"AVENIDA T 04, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 60 m²,60.0,2.0,,,590000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-avenida-t-04-1142018
"Rua Luiz José de Almeida, RESIDENCIAL JARDINS DO LAGO, ANAPOLIS",,Venda Casa 180 m²,180.0,3.0,,,900000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-jardins-do-lago-anapolis-go-rua-luiz-jose-de-almeida-1035793
"AVENIDA T 5 ATE 1501 LADO IMPAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 528 m²,528.0,4.0,,,8882009.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-bueno-goiania-go-avenida-t-5-ate-1501-lado-impar-1007409
"Alameda Espanha, TERRAS ALPHA RESIDENCIAL 1, SENADOR CANEDO",,Venda Casa Condominio 180 m²,180.0,3.0,,,995000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-terras-alpha-residencial-1-senador-canedo-go-alameda-espanha-1023340
"Rua H 0147, CIDADE VERA CRUZ, APARECIDA DE GOIANIA",,Venda Casa 300 m²,300.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cidade-vera-cruz-aparecida-de-goiania-go-rua-h-0147-1098131
"Rua 22, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 148 m²,148.0,3.0,,,1674313.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-22-419462
"AVENIDA DIOGENES DOLIVAL SAMPAIO, JARDINS VALENCIA, GOIANIA",,Venda Casa Condominio 290 m²,290.0,4.0,,,2950000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-jardins-valencia-goiania-go-avenida-diogenes-dolival-sampaio-1147457
"AVENIDA C 18, SETOR SUDOESTE, GOIANIA",SETOR SUDOESTE,Venda Casa 380 m²,380.0,4.0,,,890000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-setor-sudoeste-goiania-go-avenida-c-18-1073906
"AVENIDA FLORESTA, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Casa Condominio 455 m²,455.0,4.0,,,7990000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-residencial-aldeia-do-vale-goiania-go-avenida-floresta-1060924
"Rua 70, JARDIM GOIAS, GOIANIA",,Venda Apartamento 180 m²,180.0,4.0,,,1620000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-goias-goiania-go-rua-70-1177943
"ALAMEDA VITORIA REGIA, SETOR GOIANIA 2, GOIANIA",SETOR GOIANIA 2,Venda Casa 115 m²,115.0,3.0,,,600000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-goiania-2-goiania-go-alameda-vitoria-regia-1056598
"Rua T 38 ATE 1508 LADO PAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 80 m²,80.0,2.0,,,460000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-38-ate-1508-lado-par-1179138
"AVENIDA PL 02, PARK LOZANDES, GOIANIA",,Venda Apartamento 291 m²,291.0,4.0,,,2899990.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-park-lozandes-goiania-go-avenida-pl-02-1169921
"Rua T 65, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 107 m²,107.0,3.0,,,570000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-65-1132245
"Rua 02, CIDADE JARDIM, ANAPOLIS",,Venda Apartamento 99 m²,99.0,4.0,,,520000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-cidade-jardim-anapolis-go-rua-02-1129199
"AVENIDA IPE AMARELO, RESIDENCIAL ALDEIA DOS SONHOS, ANAPOLIS",,Venda Casa 122 m²,122.0,3.0,,,430000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-aldeia-dos-sonhos-anapolis-go-avenida-ipe-amarelo-957968
"Rua DAS GARCAS, SETOR LAGO DOS BURITIS, ANAPOLIS",SETOR LAGO DOS BURITIS,Venda Casa 135 m²,135.0,3.0,,,500000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-lago-dos-buritis-anapolis-go-rua-das-garcas-1102050
"Rua DE TAMBAU, JARDIM ATLANTICO, GOIANIA",,Venda Casa 144 m²,144.0,3.0,,,810000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-atlantico-goiania-go-rua-de-tambau-817287
"AVENIDA SB A, LOTEAMENTO PORTAL DO SOL I, GOIANIA",,Venda Casa 300 m²,300.0,5.0,,,2500000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-loteamento-portal-do-sol-i-goiania-go-avenida-sb-a-1164763
"Rua 34, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 342 m²,342.0,3.0,,,3950000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-34-1037441
"Rua T 66, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 184 m²,184.0,3.0,,,2100000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-66-1054557
"Rua CJ 05, RESIDENCIAL CAMPOS DO JORDAO, ANAPOLIS",,Venda Casa 160 m²,160.0,3.0,,,680000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-campos-do-jordao-anapolis-go-rua-cj-05-1107691
"Rua RODEIO, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 62 m²,62.0,1.0,,,180000.0,https://www.62imoveis.com.br/imovel/casa-1-quarto-venda-setor-pontal-sul-aparecida-de-goiania-go-rua-rodeio-1090837
"Rua VB 20, RESIDENCIAL VEREDA DOS BURITIS, GOIANIA",,Venda Casa 132 m²,132.0,2.0,,,645000.0,https://www.62imoveis.com.br/imovel/casa-2-quartos-venda-residencial-vereda-dos-buritis-goiania-go-rua-vb-20-1166589
"Rua 28 A, SETOR AEROPORTO, GOIANIA",SETOR AEROPORTO,Venda Apartamento 87 m²,87.0,3.0,,,700000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-aeroporto-goiania-go-rua-28-a-909692
"Rua AMELIA ARTIAGA JARDIM, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 260 m²,260.0,4.0,,,2980000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-marista-goiania-go-rua-amelia-artiaga-jardim-1037806
"Rua 54, JARDIM GOIAS, GOIANIA",,Venda Apartamento 85 m²,85.0,3.0,,,799000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-rua-54-1037435
"Quadra Quadra 05, PARQUE ESTRELA DALVA VI PEDREGAL, NOVO GAMA",,Venda Lote/Terreno/Área 31000 m²,31000.0,,,,3000000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-parque-estrela-dalva-vi-pedregal-novo-gama-go-quadra-quadra-05-360766
"Rua do Mato, CHACARA BELA VISTA, APARECIDA DE GOIANIA",,Venda Apartamento 50 m²,50.0,2.0,,,200000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-chacara-bela-vista-aparecida-de-goiania-go-rua-do-mato-1156194
"Rua BEM TE VI, PARQUE DAS LARANJEIRAS, GOIANIA",,Venda Casa 394 m²,394.0,3.0,,,1285000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-parque-das-laranjeiras-goiania-go-rua-bem-te-vi-1106776
"RODOVIA GO 020, FAZENDA VAU DAS POMBAS, GOIANIA",,Venda Lote/Terreno/Área 360 m²,360.0,,,,684000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-fazenda-vau-das-pombas-goiania-go-rodovia-go-020-999633
"Rua 37, RESIDENCIAL TRIUNFO II, GOIANIRA",,"Venda Rural 0,05 ha",,5.0,,,2500000.0,https://www.62imoveis.com.br/imovel/rural-4-quartos-venda-residencial-triunfo-ii-goianira-go-rua-37-1170000
"Quadra Quadra 03, PARQUE ESPLANADA III, VALPARAISO DE GOIAS",,Venda Apartamento 60 m²,60.0,2.0,,,140000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-parque-esplanada-iii-valparaiso-de-goias-go-quadra-quadra-03-1042598
"Rua 1141, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 256 m²,256.0,4.0,,,2200000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-marista-goiania-go-rua-1141-1037632
"ALAMEDA JUAZEIRO DO NORTE, PARQUE AMAZONIA, GOIANIA",,Venda Casa Condominio 195 m²,195.0,4.0,,,750000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-parque-amazonia-goiania-go-alameda-juazeiro-do-norte-1105440
"Rua 86 E, SETOR SUL, GOIANIA",SETOR SUL,Venda Lote/Terreno/Área 486 m²,486.0,9.0,,,1950000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-4-quartos-venda-setor-sul-goiania-go-rua-86-e-1058345
"AVENIDA DIOGENES DOLIVAL SAMPAIO, JARDINS VALENCIA, GOIANIA",,Venda Casa Condominio 330 m²,330.0,5.0,,,2900000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-jardins-valencia-goiania-go-avenida-diogenes-dolival-sampaio-1115272
"AVENIDA FLORESTA, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Casa 702 m²,702.0,5.0,,,7900000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-residencial-aldeia-do-vale-goiania-go-avenida-floresta-1030104
"AVENIDA GOMES DE SOUZA RAMOS, JARDIM FLOR DE LIZ, ANAPOLIS",,Venda Casa 104 m²,104.0,3.0,,,310000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-flor-de-liz-anapolis-go-avenida-gomes-de-souza-ramos-979163
"AGUA FRIA DE GOIAS, AGUA FRIA DE GOIAS, AGUA FRIA DE GOIAS",,"Venda Rural 19,50 ha",,,,,3800000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-agua-fria-de-goias-agua-fria-de-goias-go-agua-fria-de-goias-735415
"Alameda França, TERRAS ALPHA RESIDENCIAL 1, SENADOR CANEDO",,Venda Casa Condominio 180 m²,180.0,3.0,,,799000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-terras-alpha-residencial-1-senador-canedo-go-alameda-franca-1123709
"AVENIDA DEPUTADO JAMEL CECILIO, JARDIM GOIAS, GOIANIA",,Venda Apartamento 50 m²,50.0,1.0,,,530000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-jardim-goias-goiania-go-avenida-deputado-jamel-cecilio-1179330
