estado,cidade,bairro,tipo,m2,quartos,banheiros,garagem,mobilia,ano,valor
GO,Goiânia,JARDINS MADRI,Casa,351.0,5,7,0,Nao,2020,3390000.0
GO,Goiânia,JARDINS,Casa,290.0,4,5,0,Nao,2020,2900000.0
GO,Goiânia,SETOR JAÓ,Casa,290.0,4,6,2,Nao,2020,2590000.0
GO,Goiânia,SETOR MARISTA,Apartamento,96.0,2,3,1,Nao,2020,1251244.44
GO,Goiânia,SETOR MARISTA,Apartamento,204.15,3,5,3,Nao,2020,2570152.0
GO,Goiânia,SETOR BUENO,Apartamento,44.69,1,2,1,Nao,2020,625000.0
GO,Goiânia,SETOR BUENO,Apartamento,76.0,2,3,1,Nao,2020,798166.0
GO,Goiânia,SETOR PEDRO LUDOVICO,Apartamento,91.0,3,3,2,Nao,2020,778992.01
GO,Goiânia,SETOR BUENO,Apartamento,130.0,4,5,2,Nao,2020,730000.0
GO,Goiânia,SETOR MARISTA,Apartamento,114.0,3,4,2,Nao,2020,950000.0
GO,Goiânia,SETOR BUENO,Apartamento,71.08,2,2,1,Nao,2020,829000.0
GO,Goiânia,SETOR BUENO,Apartamento,60.0,1,1,0,Nao,2020,883000.0
GO,Goiânia,SETOR BUENO,Apartamento,67.0,1,1,1,Nao,2020,832224.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,72.36,3,3,1,Nao,2020,971924.28
GO,Goiânia,SETOR BUENO,Apartamento,115.0,3,5,2,Nao,2020,960000.0
GO,Goiânia,SETOR MARISTA,Apartamento,84.0,3,3,1,Nao,2020,890675.68
GO,Goiânia,PARK LOZANDES,Apartamento,117.0,3,3,0,Nao,2020,966561.81
GO,Goiânia,JARDIM GOIÁS,Apartamento,108.0,3,4,2,Nao,2020,820000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,98.0,3,4,2,Nao,2020,996501.32
GO,Goiânia,SETOR MARISTA,Apartamento,86.16,2,3,1,Nao,2020,950000.0
GO,Goiânia,SETOR BUENO,Apartamento,146.7,3,3,1,Nao,2020,1318733.53
GO,Goiânia,PARK LOZANDES,Apartamento,120.33,3,4,2,Nao,2020,1024000.0
GO,Goiânia,SETOR MARISTA,Apartamento,147.0,3,4,2,Nao,2020,1398454.05
GO,Goiânia,SETOR BUENO,Apartamento,144.0,3,4,2,Nao,2020,1291891.89
GO,Goiânia,SETOR BUENO,Apartamento,137.0,3,4,2,Nao,2020,1400000.0
GO,Goiânia,SETOR BUENO,Apartamento,155.0,3,4,3,Nao,2020,1300000.0
GO,Goiânia,SETOR BUENO,Apartamento,116.0,3,4,2,Nao,2020,1110037.84
GO,Goiânia,SETOR BUENO,Apartamento,117.0,3,4,2,Nao,2020,1090000.0
GO,Goiânia,SETOR OESTE,Apartamento,160.0,3,4,2,Nao,2020,1482507.25
GO,Goiânia,SETOR BUENO,Apartamento,140.0,3,4,2,Nao,2020,1255232.0
GO,Goiânia,SETOR BUENO,Apartamento,130.0,3,5,2,Nao,2020,1105000.0
GO,Goiânia,SETOR BUENO,Apartamento,178.0,4,4,3,Nao,2020,1450000.0
GO,Goiânia,SETOR MARISTA,Apartamento,129.0,3,4,2,Nao,2020,1287817.48
GO,Goiânia,SETOR MARISTA,Apartamento,137.33,4,4,2,Nao,2020,1020414.13
GO,Goiânia,JARDIM GOIÁS,Apartamento,104.0,2,0,2,Nao,2020,1085847.2
GO,Goiânia,JARDIM GOIÁS,Apartamento,115.0,3,4,2,Nao,2020,1350000.0
GO,Goiânia,SETOR BUENO,Apartamento,146.0,3,0,1,Nao,2020,1368060.48
GO,Goiânia,SETOR BUENO,Apartamento,140.0,3,4,3,Nao,2020,1500000.0
GO,Goiânia,PARK LOZANDES,Apartamento,121.75,3,4,2,Nao,2020,1269000.0
GO,Goiânia,PARK LOZANDES,Apartamento,105.75,3,4,2,Nao,2020,1061348.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,115.0,3,4,2,Nao,2020,1180000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,112.0,3,4,0,Nao,2020,1347703.76
GO,Goiânia,SETOR MARISTA,Apartamento,125.0,3,4,2,Nao,2020,1150000.0
GO,Goiânia,SETOR BUENO,Apartamento,148.69,3,3,1,Nao,2020,1368060.48
GO,Goiânia,JARDIM GOIÁS,Apartamento,107.0,3,3,2,Nao,2020,1085847.2
GO,Goiânia,SETOR PEDRO LUDOVICO,Apartamento,126.0,3,4,2,Nao,2020,1035134.58
GO,Goiânia,SETOR MARISTA,Apartamento,114.0,3,4,2,Nao,2020,1050000.0
GO,Goiânia,SETOR BUENO,Apartamento,128.0,3,5,2,Nao,2020,1125000.0
GO,Goiânia,JARDIM AMÉRICA,Apartamento,121.0,3,4,2,Nao,2020,1290000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,128.0,3,5,2,Nao,2020,1420000.0
GO,Goiânia,SETOR MARISTA,Apartamento,108.0,3,4,0,Nao,2020,1240000.0
GO,Goiânia,SETOR MARISTA,Apartamento,79.0,2,3,0,Nao,2020,1200.0
